id,name,address,rating,review_count,lat,lon,tit1,tit2,zipcodes
JDNz8G7ZQGMgXBL_hH0bdw,Oliva Trattoria,"4449 Van Nuys Blvd  Sherman Oaks, CA 91403",3.5,551,34.152338,-118.44906499999999,Pizza, Italian,91403
jDRk0k0PTk6sKAsbVAJ80A,Spring Street Smoke House truck,"Los Angeles, CA",2.5,19,34.053490000000004,-118.24531999999999,Barbeque, Food Stands,CA
JDT9ke8HPnhM3aXvKCKeqw,Taqueria Chihuahua,"505 Washington Blvd  Marina Del Rey, CA 90292",4.0,252,33.982909899999996,-118.46108999999998,Mexican, ,90292
jdU8HLbRU8D2rSrIJUaLhg,Pink Pepper,"1638 North La Brea Ave  Los Angeles, CA 90028",3.5,531,34.10057008,-118.3448446,Thai, ,90028
jDuE5Pg0eJL5A7eudAbV3w,Pizza Hut,"13525 Telegraph Rd  Ste C  Whittier, CA 90605",2.0,38,33.93786643,-118.04255090000001,Pizza, Italian,90605
JDXIkp_g-NaslFvIMcWhhw,Shakey's Pizza Parlor,"1133 S Glendale Ave  Glendale, CA 91205",3.5,150,34.13242138,-118.25245,Pizza, Buffets,91205
je1VQSkG1AUNIwHvv51zWQ,Ramen Table,"6367 Atlantic Ave  Bell, CA 90201",3.5,66,33.978664,-118.18778600000002,Ramen, Asian Fusion,90201
JE6CMkwGV2uFIXU8WjHmfQ,Angelo's Italian Deli,"133 Main St  Seal Beach, CA 90740",4.0,244,33.741036799999996,-118.10522560000001,Delis, ,90740
je8j0jRI-ECcAec4o7hQiA,California Chicken Cafe,"15601 Ventura Blvd  Encino, CA 91436",3.5,847,34.155359000000004,-118.47333,American (Traditional), Salad,91436
je8k4EhxvpR7ffAjZpNjsw,El Sinaloense Restaurant,"15503 Paramount Blvd  Paramount, CA 90723",3.0,112,33.89277,-118.1605,Mexican, ,90723
jEaD2gfdyk31J0TCyv9pwA,Sake House by Hikari,"3465 W 6th St  Ste 150  Los Angeles, CA 90020",4.0,330,34.06373216,-118.2977414,Sushi Bars, Japanese,90020
jEBmyYkZ7I9O4nrwX2MtaQ,Deano's Gourmet Pizza,"6333 W 3rd St  Stall 310  Los Angeles, CA 90036",3.5,155,34.07182755,-118.36092079999999,Italian, Pizza,90036
jEc9UnIE0LnMOpadEWxcLg,The Oyster Gourmet,"317 S Broadway  Los Angeles, CA 90013",4.0,241,34.050976299999995,-118.24922140000001,Seafood, Wine Bars,90013
